Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
VN1R24P	vomeronasal 1 receptor 24 pseudogene		100312781	
VN1R25P	vomeronasal 1 receptor 25 pseudogene		100312782	ENSG00000224947
VN1R26P	vomeronasal 1 receptor 26 pseudogene		100312783	
VN1R27P	vomeronasal 1 receptor 27 pseudogene		100312784	
VN1R28P	vomeronasal 1 receptor 28 pseudogene		100312785	ENSG00000227182
VN1R29P	vomeronasal 1 receptor 29 pseudogene		100312786	
VN1R30P	vomeronasal 1 receptor 30 pseudogene		100287919	
VN1R31P	vomeronasal 1 receptor 31 pseudogene		100312787	ENSG00000236284
VN1R32P	vomeronasal 1 receptor 32 pseudogene		100312788	ENSG00000230361
VN1R33P	vomeronasal 1 receptor 33 pseudogene		100288022	ENSG00000227426
VN1R34P	vomeronasal 1 receptor 34 pseudogene		100129587	ENSG00000233173
VN1R35P	vomeronasal 1 receptor 35 pseudogene		100312789	ENSG00000228660
VN1R36P	vomeronasal 1 receptor 36 pseudogene		100312790	ENSG00000230639
VN1R37P	vomeronasal 1 receptor 37 pseudogene		402273	ENSG00000213643
VN1R38P	vomeronasal 1 receptor 38 pseudogene		100131065	ENSG00000235227
VN1R39P	vomeronasal 1 receptor 39 pseudogene		100312791	
VN1R40P	vomeronasal 1 receptor 40 pseudogene		100312792	ENSG00000223845
VN1R41P	vomeronasal 1 receptor 41 pseudogene		100312793	
VN1R42P	vomeronasal 1 receptor 42 pseudogene		100312794	ENSG00000223476
VN1R43P	vomeronasal 1 receptor 43 pseudogene		100312795	
VN1R44P	vomeronasal 1 receptor 44 pseudogene		100312855	
VN1R45P	vomeronasal 1 receptor 45 pseudogene		100312796	
VN1R46P	vomeronasal 1 receptor 46 pseudogene		100131789	ENSG00000253611
VN1R47P	vomeronasal 1 receptor 47 pseudogene		100312797	
VN1R48P	vomeronasal 1 receptor 48 pseudogene		100312798	ENSG00000237487
VN1R49P	vomeronasal 1 receptor 49 pseudogene		100312799	
VN1R51P	vomeronasal 1 receptor 51 pseudogene		100312801	ENSG00000228038
VN1R52P	vomeronasal 1 receptor 52 pseudogene		100312802	
VN1R53P	vomeronasal 1 receptor 53 pseudogene		100312806	ENSG00000236313
VN1R54P	vomeronasal 1 receptor 54 pseudogene		100312807	ENSG00000232109
VN1R55P	vomeronasal 1 receptor 55 pseudogene		100312808	
VN1R56P	vomeronasal 1 receptor 56 pseudogene		100312774	
VN1R57P	vomeronasal 1 receptor 57 pseudogene		100312809	
VN1R58P	vomeronasal 1 receptor 58 pseudogene		100312810	
VN1R59P	vomeronasal 1 receptor 59 pseudogene		100312811	
VN1R60P	vomeronasal 1 receptor 60 pseudogene		100312812	
VN1R61P	vomeronasal 1 receptor 61 pseudogene		100312813	
VN1R62P	vomeronasal 1 receptor 62 pseudogene		100312814	
VN1R63P	vomeronasal 1 receptor 63 pseudogene		100312815	
VN1R64P	vomeronasal 1 receptor 64 pseudogene		730196	ENSG00000213547
VN1R65P	vomeronasal 1 receptor 65 pseudogene		100128384	ENSG00000260883
VN1R66P	vomeronasal 1 receptor 66 pseudogene		100129315	ENSG00000237185
VN1R67P	vomeronasal 1 receptor 67 pseudogene		100131118	ENSG00000260722
VN1R68P	vomeronasal 1 receptor 68 pseudogene		100131688	ENSG00000259979
VN1R69P	vomeronasal 1 receptor 69 pseudogene		100312816	ENSG00000260724
VN1R70P	vomeronasal 1 receptor 70 pseudogene		100130059	ENSG00000261515
VN1R71P	vomeronasal 1 receptor 71 pseudogene		100312817	ENSG00000264837
VN1R72P	vomeronasal 1 receptor 72 pseudogene		100312853	
VN1R73P	vomeronasal 1 receptor 73 pseudogene		100312818	
VN1R74P	vomeronasal 1 receptor 74 pseudogene		100312819	ENSG00000273732
VN1R75P	vomeronasal 1 receptor 75 pseudogene		100312820	
VN1R76P	vomeronasal 1 receptor 76 pseudogene		100312821	ENSG00000273762
VN1R77P	vomeronasal 1 receptor 77 pseudogene		100312822	
VN1R78P	vomeronasal 1 receptor 78 pseudogene		100312823	ENSG00000268272
VN1R79P	vomeronasal 1 receptor 79 pseudogene		100312824	ENSG00000269885
VN1R80P	vomeronasal 1 receptor 80 pseudogene		100312825	ENSG00000268598
VN1R81P	vomeronasal 1 receptor 81 pseudogene		100312826	ENSG00000268357
VN1R82P	vomeronasal 1 receptor 82 pseudogene		100312827	ENSG00000268995
VN1R83P	vomeronasal 1 receptor 83 pseudogene		100312828	ENSG00000268521
VN1R84P	vomeronasal 1 receptor 84 pseudogene		100312829	ENSG00000268117
VN1R85P	vomeronasal 1 receptor 85 pseudogene		100312830	ENSG00000269345
VN1R86P	vomeronasal 1 receptor 86 pseudogene		100312831	
VN1R87P	vomeronasal 1 receptor 87 pseudogene		100312832	ENSG00000268789
VN1R88P	vomeronasal 1 receptor 88 pseudogene		100312833	ENSG00000268541
VN1R89P	vomeronasal 1 receptor 89 pseudogene		100312834	
VN1R90P	vomeronasal 1 receptor 90 pseudogene		100312835	ENSG00000268794
VN1R91P	vomeronasal 1 receptor 91 pseudogene		100312836	ENSG00000268148
VN1R92P	vomeronasal 1 receptor 92 pseudogene		100312837	ENSG00000268908
VN1R93P	vomeronasal 1 receptor 93 pseudogene		100312838	ENSG00000269320
VN1R94P	vomeronasal 1 receptor 94 pseudogene		100312839	
VN1R95P	vomeronasal 1 receptor 95 pseudogene		100131141	
VN1R96P	vomeronasal 1 receptor 96 pseudogene		100127969	ENSG00000230086
VN1R97P	vomeronasal 1 receptor 97 pseudogene		100312840	
VN1R98P	vomeronasal 1 receptor 98 pseudogene		100312841	
VN1R99P	vomeronasal 1 receptor 99 pseudogene		100312842	
VN1R100P	vomeronasal 1 receptor 100 pseudogene		100312846	
VN1R101P	vomeronasal 1 receptor 101 pseudogene		729885	
VN1R102P	vomeronasal 1 receptor 102 pseudogene		100312847	
VN1R103P	vomeronasal 1 receptor 103 pseudogene		730066	
VN1R104P	vomeronasal 1 receptor 104 pseudogene		100288195	ENSG00000249654
VN1R105P	vomeronasal 1 receptor 105 pseudogene		100288264	ENSG00000242856
VN1R106P	vomeronasal 1 receptor 106 pseudogene		100312848	
VN1R107P	vomeronasal 1 receptor 107 pseudogene		100312849	ENSG00000268545
VN1R108P	vomeronasal 1 receptor 108 pseudogene		100312850	ENSG00000230772
VN1R109P	vomeronasal 1 receptor 109 pseudogene		100312851	
VN1R110P	vomeronasal 1 receptor 110 pseudogene		100312803	ENSG00000231725
VN1R111P	vomeronasal 1 receptor 111 pseudogene		100312852	
VN1R112P	vomeronasal 1 receptor 112 pseudogene		100312854	
VN2R1P	vomeronasal 2 receptor 1 pseudogene		344760	ENSG00000174930
VN2R2P	vomeronasal 2 receptor 2 pseudogene		100033391	
VN2R3P	vomeronasal 2 receptor 3, pseudogene		100033392	ENSG00000234680
VN2R6P	vomeronasal 2 receptor 6 pseudogene		100033395	
VN2R7P	vomeronasal 2 receptor 7 pseudogene		100033396	
VN2R9P	vomeronasal 2 receptor 9, pseudogene		648315	ENSG00000236541
VN2R10P	vomeronasal 2 receptor 10, pseudogene		100033398	ENSG00000226348
VN2R11P	vomeronasal 2 receptor 11 pseudogene		100033399	
VN2R12P	vomeronasal 2 receptor 12 pseudogene		100033400	
VN2R13P	vomeronasal 2 receptor 13 pseudogene		100033401	
VN2R14P	vomeronasal 2 receptor 14 pseudogene		100033402	
VN2R15P	vomeronasal 2 receptor 15 pseudogene		100033403	
VN2R16P	vomeronasal 2 receptor 16 pseudogene		100033404	
VN2R17P	vomeronasal 2 receptor 17, pseudogene		649186	ENSG00000213014
VN2R18P	vomeronasal 2 receptor 18 pseudogene		100033406	
VN2R19P	vomeronasal 2 receptor 19, pseudogene		100033407	ENSG00000235974
VN2R20P	vomeronasal 2 receptor 20 pseudogene		100033408	
VN2R21P	vomeronasal 2 receptor 21 pseudogene		100127050	
VNN1	vanin 1	O95497	8876	ENSG00000112299
VNN2	vanin 2	O95498	8875	ENSG00000112303
VNN3	vanin 3	Q9NY84	55350	ENSG00000093134
VOPP1	VOPP1 WW domain binding protein	Q96AW1	81552	ENSG00000154978
VPREB1	V-set pre-B cell surrogate light chain 1	P12018	7441	ENSG00000169575
VPREB3	V-set pre-B cell surrogate light chain 3	Q9UKI3	29802	ENSG00000128218
VPS4A	vacuolar protein sorting 4 homolog A	Q9UN37	27183	ENSG00000132612
VPS4B	vacuolar protein sorting 4 homolog B	O75351	9525	ENSG00000119541
VPS8	VPS8 subunit of CORVET complex	Q8N3P4	23355	ENSG00000156931
VPS9D1	VPS9 domain containing 1	Q9Y2B5	9605	ENSG00000075399
VPS9D1-AS1	VPS9D1 antisense RNA 1		100128881	ENSG00000261373
VPS11	VPS11 core subunit of CORVET and HOPS complexes	Q9H270	55823	ENSG00000160695
VPS13A	vacuolar protein sorting 13 homolog A	Q96RL7	23230	ENSG00000197969
VPS13A-AS1	VPS13A antisense RNA 1		100286938	ENSG00000232998
VPS13B	vacuolar protein sorting 13 homolog B	Q7Z7G8	157680	ENSG00000132549
VPS13C	vacuolar protein sorting 13 homolog C	Q709C8	54832	ENSG00000129003
VPS13D	vacuolar protein sorting 13 homolog D	Q5THJ4	55187	ENSG00000048707
VPS16	VPS16 core subunit of CORVET and HOPS complexes	Q9H269	64601	ENSG00000215305
VPS18	VPS18 core subunit of CORVET and HOPS complexes	Q9P253	57617	ENSG00000104142
VPS25	vacuolar protein sorting 25 homolog	Q9BRG1	84313	ENSG00000131475
VPS25P1	VPS25 pseudogene 1		441899	ENSG00000226755
VPS26A	VPS26, retromer complex component A	O75436	9559	ENSG00000122958
VPS26AP1	VPS26A pseudogene 1		100421731	ENSG00000240375
VPS26B	VPS26, retromer complex component B	Q4G0F5	112936	ENSG00000151502
VPS26BP1	VPS26B pseudogene 1		100421729	ENSG00000224895
VPS26C	VPS26 endosomal protein sorting factor C	O14972	10311	ENSG00000157538
VPS28	VPS28 subunit of ESCRT-I	Q9UK41	51160	ENSG00000160948
VPS29	VPS29 retromer complex component	Q9UBQ0	51699	ENSG00000111237
VPS33A	VPS33A core subunit of CORVET and HOPS complexes	Q96AX1	65082	ENSG00000139719
VPS33B	VPS33B late endosome and lysosome associated	Q9H267	26276	ENSG00000184056
VPS33B-DT	VPS33B divergent transcript		101926911	ENSG00000214432
VPS35	VPS35 retromer complex component	Q96QK1	55737	ENSG00000069329
VPS35L	VPS35 endosomal protein sorting factor like	Q7Z3J2	57020	ENSG00000103544
VPS35P1	VPS35 pseudogene 1		100422055	ENSG00000260809
VPS36	vacuolar protein sorting 36 homolog	Q86VN1	51028	ENSG00000136100
VPS37A	VPS37A subunit of ESCRT-I	Q8NEZ2	137492	ENSG00000155975
VPS37B	VPS37B subunit of ESCRT-I	Q9H9H4	79720	ENSG00000139722
VPS37C	VPS37C subunit of ESCRT-I	A5D8V6	55048	ENSG00000167987
VPS37D	VPS37D subunit of ESCRT-I	Q86XT2	155382	ENSG00000176428
VPS39	VPS39 subunit of HOPS complex	Q96JC1	23339	ENSG00000166887
VPS41	VPS41 subunit of HOPS complex	P49754	27072	ENSG00000006715
VPS45	vacuolar protein sorting 45 homolog	Q9NRW7	11311	ENSG00000136631
VPS50	VPS50 subunit of EARP/GARPII complex	Q96JG6	55610	ENSG00000004766
VPS51	VPS51 subunit of GARP complex	Q9UID3	738	ENSG00000149823
VPS52	VPS52 subunit of GARP complex	Q8N1B4	6293	ENSG00000223501
VPS53	VPS53 subunit of GARP complex	Q5VIR6	55275	ENSG00000141252
VPS54	VPS54 subunit of GARP complex	Q9P1Q0	51542	ENSG00000143952
VPS72	vacuolar protein sorting 72 homolog	Q15906	6944	ENSG00000163159
VRK1	VRK serine/threonine kinase 1	Q99986	7443	ENSG00000100749
VRK2	VRK serine/threonine kinase 2	Q86Y07	7444	ENSG00000028116
VRK3	VRK serine/threonine kinase 3	Q8IV63	51231	ENSG00000105053
VRTN	vertebrae development associated	Q9H8Y1	55237	ENSG00000133980
VSIG1	V-set and immunoglobulin domain containing 1	Q86XK7	340547	ENSG00000101842
VSIG2	V-set and immunoglobulin domain containing 2	Q96IQ7	23584	ENSG00000019102
VSIG4	V-set and immunoglobulin domain containing 4	Q9Y279	11326	ENSG00000155659
VSIG8	V-set and immunoglobulin domain containing 8	P0DPA2	391123	ENSG00000243284
VSIG10	V-set and immunoglobulin domain containing 10	Q8N0Z9	54621	ENSG00000176834
VSIG10L	V-set and immunoglobulin domain containing 10 like	Q86VR7	147645	ENSG00000186806
VSIG10L2	V-set and immunoglobulin domain containing 10 like 2	P0DP72	338667	ENSG00000283703
VSIR	V-set immunoregulatory receptor	Q9H7M9	64115	ENSG00000107738
VSNL1	visinin like 1	P62760	7447	ENSG00000163032
VSTM1	V-set and transmembrane domain containing 1	Q6UX27	284415	ENSG00000189068
VSTM2A	V-set and transmembrane domain containing 2A	Q8TAG5	222008	ENSG00000170419
VSTM2A-OT1	VSTM2A overlapping transcript 1		285878	ENSG00000224223
VSTM2B	V-set and transmembrane domain containing 2B	A6NLU5	342865	ENSG00000187135
VSTM2L	V-set and transmembrane domain containing 2 like	Q96N03	128434	ENSG00000132821
VSTM4	V-set and transmembrane domain containing 4	Q8IW00	196740	ENSG00000165633
VSTM5	V-set and transmembrane domain containing 5	A8MXK1	387804	ENSG00000214376
VSX1	visual system homeobox 1	Q9NZR4	30813	ENSG00000100987
VSX2	visual system homeobox 2	P58304	338917	ENSG00000119614
VTA1	vesicle trafficking 1	Q9NP79	51534	ENSG00000009844
VTA1P1	vesicle trafficking 1 pseudogene 1			ENSG00000224999
VTA1P2	vesicle trafficking 1 pseudogene 2		100128412	ENSG00000253401
VTCN1	V-set domain containing T cell activation inhibitor 1	Q7Z7D3	79679	ENSG00000134258
VTI1A	vesicle transport through interaction with t-SNAREs 1A	Q96AJ9	143187	ENSG00000151532
VTI1B	vesicle transport through interaction with t-SNAREs 1B	Q9UEU0	10490	ENSG00000100568
VTI1BP1	vesicle transport through interaction with t-SNAREs 1B pseudogene 1		391559	ENSG00000243974
VTI1BP2	vesicle transport through interaction with t-SNAREs 1B pseudogene 2		389246	ENSG00000213434
VTI1BP3	vesicle transport through interaction with t-SNAREs 1B pseudogene 3		100127976	ENSG00000258074
VTI1BP4	vesicle transport through interaction with t-SNAREs 1B pseudogene 4		100422540	ENSG00000227759
VTN	vitronectin	P04004	7448	ENSG00000109072
VTRNA1-1	vault RNA 1-1		56664	ENSG00000199990
VTRNA1-2	vault RNA 1-2		56663	ENSG00000202111
VTRNA1-3	vault RNA 1-3		56662	ENSG00000202515
VTRNA2-1	vault RNA 2-1		100126299	ENSG00000270123
VTRNA2-2P	vault RNA 2-2, pseudogene		106479538	ENSG00000251900
VTRNA3-1P	vault RNA 3-1, pseudogene		100144435	ENSG00000199422
VWA1	von Willebrand factor A domain containing 1	Q6PCB0	64856	ENSG00000179403
VWA2	von Willebrand factor A domain containing 2	Q5GFL6	340706	ENSG00000165816
VWA3A	von Willebrand factor A domain containing 3A	A6NCI4	146177	ENSG00000175267
VWA3B	von Willebrand factor A domain containing 3B	Q502W6	200403	ENSG00000168658
VWA5A	von Willebrand factor A domain containing 5A	O00534	4013	ENSG00000110002
VWA5B1	von Willebrand factor A domain containing 5B1	Q5TIE3	127731	ENSG00000158816
VWA5B2	von Willebrand factor A domain containing 5B2	Q8N398	90113	ENSG00000145198
VWA7	von Willebrand factor A domain containing 7	Q9Y334	80737	ENSG00000204396
VWA8	von Willebrand factor A domain containing 8	A3KMH1	23078	ENSG00000102763
VWA8-AS1	VWA8 antisense RNA 1 (head to head)		100507240	ENSG00000278338
VWA8P1	von Willebrand factor A domain containing 8 pseudogene 1			ENSG00000250289
VWC2	von Willebrand factor C domain containing 2	Q2TAL6	375567	ENSG00000188730
VWC2L	von Willebrand factor C domain containing 2 like	B2RUY7	402117	ENSG00000174453
VWC2L-IT1	VWC2L intronic transcript 1			ENSG00000224257
VWCE	von Willebrand factor C and EGF domains	Q96DN2	220001	ENSG00000167992
VWDE	von Willebrand factor D and EGF domains	Q8N2E2	221806	ENSG00000146530
VWF	von Willebrand factor	P04275	7450	ENSG00000110799
VWFP1	von Willebrand factor pseudogene 1		7451	ENSG00000241717
VXN	vexin	Q8TAG6	254778	ENSG00000169085
WAC	WW domain containing adaptor with coiled-coil	Q9BTA9	51322	ENSG00000095787
WAC-AS1	WAC antisense RNA 1 (head to head)		220906	ENSG00000254635
WAPL	WAPL cohesin release factor	Q7Z5K2	23063	ENSG00000062650
WARS	tryptophanyl-tRNA synthetase	P23381	7453	ENSG00000140105
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	Q9UGM6	10352	ENSG00000116874
WARS2-AS1	WARS2 antisense RNA 1		101929147	ENSG00000231365
WARS2-IT1	WARS2 intronic transcript 1			ENSG00000224238
WARS2P1	tryptophanyl tRNA synthetase 2 pseudogene 1		100421633	ENSG00000227209
WARSP1	tryptophanyl-tRNA synthetase pseudogene 1		341112	ENSG00000225802
WAS	WASP actin nucleation promoting factor	P42768	7454	ENSG00000015285
WASF1	WASP family member 1	Q92558	8936	ENSG00000112290
WASF1P1	WASF1 pseudogene 1		100131624	ENSG00000227597
WASF2	WASP family member 2	Q9Y6W5	10163	ENSG00000158195
WASF3	WASP family member 3	Q9UPY6	10810	ENSG00000132970
WASF3-AS1	WASF3 antisense RNA 1			ENSG00000237001
WASF4P	WASP family member 4, pseudogene		644739	ENSG00000188459
WASF5P	WASP family member 5, pseudogene		387122	ENSG00000231402
WASH2P	WASP family homolog 2, pseudogene	Q6VEQ5	375260	ENSG00000146556
WASH3P	WASP family homolog 3, pseudogene	C4AMC7	374666	ENSG00000185596
WASH4P	WASP family homolog 4, pseudogene	A8MWX3	374677	ENSG00000234769
WASH5P	WASP family homolog 5, pseudogene		375690	ENSG00000282458
WASH6P	WASP family homolog 6, pseudogene	Q9NQA3	653440	ENSG00000182484
WASH7P	WASP family homolog 7, pseudogene		653635	ENSG00000227232
WASH8P	WAS protein family homolog 8, pseudogene		100288778	ENSG00000226210
WASH9P	WAS protein family homolog 9, pseudogene		102723897	ENSG00000279457
WASHC1	WASH complex subunit 1	A8K0Z3	100287171	ENSG00000181404
WASHC2A	WASH complex subunit 2A	Q641Q2	387680	ENSG00000099290
WASHC2C	WASH complex subunit 2C	Q9Y4E1	253725	ENSG00000172661
WASHC2D	WASH complex subunit 2D	Q5SRD0	653450	
WASHC3	WASH complex subunit 3	Q9Y3C0	51019	ENSG00000120860
WASHC4	WASH complex subunit 4	Q2M389	23325	ENSG00000136051
WASHC5	WASH complex subunit 5	Q12768	9897	ENSG00000164961
WASHC5-AS1	WASHC5 antisense RNA 1			ENSG00000253167
WASIR1	WASH and IL9R antisense RNA 1		100128260	ENSG00000185203
WASIR2	WASH and IL9R antisense RNA 2		100132169	ENSG00000231439
WASL	WASP like actin nucleation promoting factor	O00401	8976	ENSG00000106299
WBP1	WW domain binding protein 1	Q96G27	23559	ENSG00000239779
WBP1L	WW domain binding protein 1 like	Q9NX94	54838	ENSG00000166272
WBP1LP1	WBP1L pseudogene 1			ENSG00000243661
WBP1LP2	WBP1L pseudogene 2		100506330	ENSG00000250474
WBP1LP3	WBP1L pseudogene 3			ENSG00000253612
WBP1LP4	WBP1L pseudogene 4		106480779	ENSG00000251035
WBP1LP5	WBP1L pseudogene 5		106480780	ENSG00000259454
WBP1LP6	WBP1L pseudogene 6		106481797	ENSG00000268663
WBP1LP7	WBP1L pseudogene 7		106479030	ENSG00000269732
WBP1LP8	WBP1L pseudogene 8		106480325	ENSG00000273640
WBP1LP9	WBP1L pseudogene 9		107403079	
WBP1LP10	WBP1L pseudogene 10		106480326	ENSG00000253826
WBP1LP11	WBP1L pseudogene 11		106481969	ENSG00000267792
WBP1LP12	WBP1L pseudogene 12		106480327	ENSG00000271530
WBP2	WW domain binding protein 2	Q969T9	23558	ENSG00000132471
WBP2NL	WBP2 N-terminal like	Q6ICG8	164684	ENSG00000183066
WBP2P1	WW domain binding protein 2 pseudogene 1		147468	ENSG00000229248
WBP4	WW domain binding protein 4	O75554	11193	ENSG00000120688
WBP11	WW domain binding protein 11	Q9Y2W2	51729	ENSG00000084463
WBP11P1	WW domain binding protein 11 pseudogene 1		441818	ENSG00000260389
WBS2	Williams-Beuren syndrome type 2			
WBSCR2	Williams-Beuren syndrome chromosome region 2		7459	
WDCP	WD repeat and coiled coil containing	Q9H6R7	80304	ENSG00000163026
WDFY1	WD repeat and FYVE domain containing 1	Q8IWB7	57590	ENSG00000085449
WDFY2	WD repeat and FYVE domain containing 2	Q96P53	115825	ENSG00000139668
WDFY3	WD repeat and FYVE domain containing 3	Q8IZQ1	23001	ENSG00000163625
WDFY3-AS1	WDFY3 antisense RNA 1			ENSG00000251260
WDFY3-AS2	WDFY3 antisense RNA 2		404201	ENSG00000180769
WDFY4	WDFY family member 4	Q6ZS81	57705	ENSG00000128815
WDHD1	WD repeat and HMG-box DNA binding protein 1	O75717	11169	ENSG00000198554
WDPCP	WD repeat containing planar cell polarity effector	O95876	51057	ENSG00000143951
WDR1	WD repeat domain 1	O75083	9948	ENSG00000071127
WDR3	WD repeat domain 3	Q9UNX4	10885	ENSG00000065183
WDR4	WD repeat domain 4	P57081	10785	ENSG00000160193
WDR5	WD repeat domain 5	P61964	11091	ENSG00000196363
WDR5B	WD repeat domain 5B	Q86VZ2	54554	ENSG00000196981
WDR6	WD repeat domain 6	Q9NNW5	11180	ENSG00000178252
WDR7	WD repeat domain 7	Q9Y4E6	23335	ENSG00000091157
WDR7-OT1	WDR7 overlapping transcript 1			ENSG00000267225
WDR11	WD repeat domain 11	Q9BZH6	55717	ENSG00000120008
WDR11-AS1	WDR11 antisense RNA 1		283089	ENSG00000227165
WDR12	WD repeat domain 12	Q9GZL7	55759	ENSG00000138442
WDR13	WD repeat domain 13	Q9H1Z4	64743	ENSG00000101940
WDR17	WD repeat domain 17	Q8IZU2	116966	ENSG00000150627
WDR18	WD repeat domain 18	Q9BV38	57418	ENSG00000065268
WDR19	WD repeat domain 19	Q8NEZ3	57728	ENSG00000157796
WDR20	WD repeat domain 20	Q8TBZ3	91833	ENSG00000140153
WDR24	WD repeat domain 24	Q96S15	84219	ENSG00000127580
WDR25	WD repeat domain 25	Q64LD2	79446	ENSG00000176473
WDR26	WD repeat domain 26	Q9H7D7	80232	ENSG00000162923
WDR27	WD repeat domain 27	A2RRH5	253769	ENSG00000184465
WDR31	WD repeat domain 31	Q8NA23	114987	ENSG00000148225
WDR33	WD repeat domain 33	Q9C0J8	55339	ENSG00000136709
WDR34	WD repeat domain 34	Q96EX3	89891	ENSG00000119333
WDR35	WD repeat domain 35	Q9P2L0	57539	ENSG00000118965
WDR36	WD repeat domain 36	Q8NI36	134430	ENSG00000134987
WDR37	WD repeat domain 37	Q9Y2I8	22884	ENSG00000047056
WDR38	WD repeat domain 38	Q5JTN6	401551	ENSG00000136918
WDR41	WD repeat domain 41	Q9HAD4	55255	ENSG00000164253
WDR43	WD repeat domain 43	Q15061	23160	ENSG00000163811
WDR44	WD repeat domain 44	Q5JSH3	54521	ENSG00000131725
WDR45	WD repeat domain 45	Q9Y484	11152	ENSG00000196998
WDR45B	WD repeat domain 45B	Q5MNZ6	56270	ENSG00000141580
WDR45BP1	WD repeat domain 45B pseudogene 1		646086	ENSG00000265574
WDR45P1	WD repeat domain 45 pseudogene 1		594841	ENSG00000248208
WDR46	WD repeat domain 46	O15213	9277	ENSG00000227057
WDR47	WD repeat domain 47	O94967	22911	ENSG00000085433
WDR48	WD repeat domain 48	Q8TAF3	57599	ENSG00000114742
WDR49	WD repeat domain 49	Q8IV35	151790	ENSG00000174776
WDR53	WD repeat domain 53	Q7Z5U6	348793	ENSG00000185798
WDR54	WD repeat domain 54	Q9H977	84058	ENSG00000005448
WDR55	WD repeat domain 55	Q9H6Y2	54853	ENSG00000120314
WDR59	WD repeat domain 59	Q6PJI9	79726	ENSG00000103091
WDR60	WD repeat domain 60	Q8WVS4	55112	ENSG00000126870
WDR61	WD repeat domain 61	Q9GZS3	80349	ENSG00000140395
WDR62	WD repeat domain 62	O43379	284403	ENSG00000075702
WDR63	WD repeat domain 63	Q8IWG1	126820	ENSG00000162643
WDR64	WD repeat domain 64	B1ANS9	128025	ENSG00000162843
WDR66	WD repeat domain 66	Q8TBY9	144406	ENSG00000158023
WDR70	WD repeat domain 70	Q9NW82	55100	ENSG00000082068
WDR72	WD repeat domain 72	Q3MJ13	256764	ENSG00000166415
WDR73	WD repeat domain 73	Q6P4I2	84942	ENSG00000177082
WDR74	WD repeat domain 74	Q6RFH5	54663	ENSG00000133316
WDR75	WD repeat domain 75	Q8IWA0	84128	ENSG00000115368
WDR76	WD repeat domain 76	Q9H967	79968	ENSG00000092470
WDR77	WD repeat domain 77	Q9BQA1	79084	ENSG00000116455
WDR78	WD repeat domain 78	Q5VTH9	79819	ENSG00000152763
WDR81	WD repeat domain 81	Q562E7	124997	ENSG00000167716
WDR82	WD repeat domain 82	Q6UXN9	80335	ENSG00000164091
WDR82P1	WD repeat domain 82 pseudogene 1		728505	ENSG00000234629
WDR82P2	WD repeat domain 82 pseudogene 2		441891	ENSG00000241318
WDR83	WD repeat domain 83	Q9BRX9	84292	ENSG00000123154
WDR83OS	WD repeat domain 83 opposite strand	Q9Y284	51398	ENSG00000105583
WDR86	WD repeat domain 86	Q86TI4	349136	ENSG00000187260
WDR86-AS1	WDR86 antisense RNA 1		100131176	ENSG00000243836
WDR87	WD repeat domain 87	Q6ZQQ6	83889	ENSG00000171804
WDR88	WD repeat domain 88	Q6ZMY6	126248	ENSG00000166359
WDR89	WD repeat domain 89	Q96FK6	112840	ENSG00000140006
WDR90	WD repeat domain 90	Q96KV7	197335	ENSG00000161996
WDR91	WD repeat domain 91	A4D1P6	29062	ENSG00000105875
WDR92	WD repeat domain 92	Q96MX6	116143	ENSG00000243667
WDR93	WD repeat domain 93	Q6P2C0	56964	ENSG00000140527
WDR95P	WD repeat domain 95, pseudogene			ENSG00000231894
WDR97	WD repeat domain 97	A6NE52	340390	ENSG00000179698
WDSUB1	WD repeat, sterile alpha motif and U-box domain containing 1	Q8N9V3	151525	ENSG00000196151
WDTC1	WD and tetratricopeptide repeats 1	Q8N5D0	23038	ENSG00000142784
WDYHV1	WDYHV motif containing 1	Q96HA8	55093	ENSG00000156795
WEE1	WEE1 G2 checkpoint kinase	P30291	7465	ENSG00000166483
WEE2	WEE1 homolog 2	P0C1S8	494551	ENSG00000214102
WEE2-AS1	WEE2 antisense RNA 1		285962	ENSG00000228775
WFDC1	WAP four-disulfide core domain 1	Q9HC57	58189	ENSG00000103175
WFDC2	WAP four-disulfide core domain 2	Q14508	10406	ENSG00000101443
WFDC3	WAP four-disulfide core domain 3	Q8IUB2	140686	ENSG00000124116
WFDC5	WAP four-disulfide core domain 5	Q8TCV5	149708	ENSG00000175121
WFDC6	WAP four-disulfide core domain 6	Q9BQY6	140870	ENSG00000243543
WFDC8	WAP four-disulfide core domain 8	Q8IUA0	90199	ENSG00000158901
WFDC9	WAP four-disulfide core domain 9	Q8NEX5	259240	ENSG00000180205
WFDC10A	WAP four-disulfide core domain 10A	Q9H1F0	140832	ENSG00000180305
WFDC10B	WAP four-disulfide core domain 10B	Q8IUB3	280664	ENSG00000182931
WFDC11	WAP four-disulfide core domain 11	Q8NEX6	259239	ENSG00000180083
WFDC12	WAP four-disulfide core domain 12	Q8WWY7	128488	ENSG00000168703
WFDC13	WAP four-disulfide core domain 13	Q8IUB5		ENSG00000168634
WFDC21P	WAP four-disulfide core domain 21, pseudogene		645638	ENSG00000261040
WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	Q96NZ8	117166	ENSG00000127578
